date,pays,new.case,new.death
2014-03-31,GUINEE,19,14
2014-04-02,GUINEE,5,3
2014-04-04,GUINEE,4,0
2014-04-16,LIBERIA,1,0
2014-04-17,GUINEE,3,4
2014-04-20,GUINEE,3,5
2014-04-25,GUINEE,0,2
2014-04-26,GUINEE,5,0
2014-05-03,GUINEE,0,1
2014-05-05,GUINEE,0,2
2014-05-09,GUINEE,2,1
2014-05-12,GUINEE,5,0
2014-05-23,GUINEE,8,3
2014-05-27,GUINEE,14,5
2014-05-27,SIERRA-LEONE,16,5
2014-05-27,LIBERIA,0,0
2014-05-28,GUINEE,10,7
2014-05-28,SIERRA-LEONE,34,1
2014-05-28,LIBERIA,1,1
2014-06-01,GUINEE,37,21
2014-06-01,SIERRA-LEONE,13,0
2014-06-02,GUINEE,11,3
2014-06-05,SIERRA-LEONE,9,6
2014-06-05,GUINEE,7,6
2014-06-06,SIERRA-LEONE,8,1
2014-06-15,GUINEE,7,5
2014-06-15,SIERRA-LEONE,31,4
2014-06-15,LIBERIA,9,5
2014-06-17,SIERRA-LEONE,39,8
2014-06-18,GUINEE,3,3
2014-06-19,LIBERIA,7,1
2014-06-20,GUINEE,0,3
2014-06-20,SIERRA-LEONE,0,4
2014-06-22,LIBERIA,10,8
2014-06-30,GUINEE,3,5
2014-06-30,LIBERIA,8,7
2014-06-30,SIERRA-LEONE,22,14
2014-07-02,GUINEE,0,2
2014-07-02,LIBERIA,8,10
2014-07-02,SIERRA-LEONE,13,2
2014-07-06,GUINEE,0,2
2014-07-06,LIBERIA,16,9
2014-07-06,SIERRA-LEONE,34,14
2014-07-08,GUINEE,1,2
2014-07-08,LIBERIA,11,4
2014-07-08,SIERRA-LEONE,32,15
2014-07-12,GUINEE,6,3
2014-07-12,LIBERIA,30,13
2014-07-12,SIERRA-LEONE,49,52
2014-07-14,GUINEE,5,6
2014-07-14,LIBERIA,2,1
2014-07-14,SIERRA-LEONE,11,4
2014-07-17,GUINEE,0,0
2014-07-17,LIBERIA,22,10
2014-07-17,SIERRA-LEONE,45,9
2014-07-20,GUINEE,5,4
2014-07-20,LIBERIA,28,11
2014-07-20,SIERRA-LEONE,12,13
2014-07-23,GUINEE,12,5
2014-07-23,LIBERIA,25,2
2014-07-23,SIERRA-LEONE,71,5
2014-07-27,GUINEE,33,20
2014-07-27,LIBERIA,80,27
2014-07-27,SIERRA-LEONE,8,9
2014-07-27,NIGERIA,1,1
2014-07-30,GUINEE,5,3
2014-07-30,LIBERIA,31,46
2014-07-30,SIERRA-LEONE,17,9
2014-07-30,NIGERIA,0,2
2014-08-04,GUINEE,10,5
2014-08-04,LIBERIA,48,27
2014-08-04,NIGERIA,5,0
2014-08-04,SIERRA-LEONE,45,13
2014-08-06,GUINEE,0,4
2014-08-06,LIBERIA,38,12
2014-08-06,NIGERIA,4,1
2014-08-06,SIERRA-LEONE,26,12
2014-08-09,GUINEE,11,6
2014-08-09,LIBERIA,45,29
2014-08-09,NIGERIA,0,0
2014-08-09,SIERRA-LEONE,13,17
2014-08-11,GUINEE,4,4
2014-08-11,LIBERIA,71,32
2014-08-11,NIGERIA,0,1
2014-08-11,SIERRA-LEONE,53,19
2014-08-13,GUINEE,9,3
2014-08-13,LIBERIA,116,58
2014-08-13,NIGERIA,0,1
2014-08-13,SIERRA-LEONE,27,14
2014-08-16,GUINEE,24,14
2014-08-16,LIBERIA,48,53
2014-08-16,NIGERIA,3,0
2014-08-16,SIERRA-LEONE,113,84