"COUNTRY (CODE)","COUNTRY (DISPLAY)","COUNTRY (URL)","EBOLA_MEASURE (CODE)","EBOLA_MEASURE (DISPLAY)","EBOLA_MEASURE (URL)","CASE_DEFINITION (CODE)","CASE_DEFINITION (DISPLAY)","CASE_DEFINITION (URL)","INDICATOR_TYPE (CODE)","INDICATOR_TYPE (DISPLAY)","INDICATOR_TYPE (URL)","DATAPACKAGEID (CODE)","DATAPACKAGEID (DISPLAY)","DATAPACKAGEID (URL)","EPI_DATE (CODE)","EPI_DATE (DISPLAY)","EPI_DATE (URL)","Display Value","Numeric","Low","High","Comments"
"LBR","Liberia","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","2824","2824.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","1809","1809.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","3057","3057.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","6201","6201.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","79","79.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1355","1355.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1956","1956.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","215","215.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","21","21.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","Not available","","","","Not available"
"LBR","Liberia","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","Not available","","","","Not available"
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1451","1451.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","174","174.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","35","35.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONFIRMED","Confirmed","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1151","1151.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","PROBABLE","Probable","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","215","215.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","SUSPECTED","Suspected","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","0","0.00000","","",""
"LBR","Liberia","","DEATHS","Number of deaths","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","3161","3161.00000","","",""
"SLE","Sierra Leone","","DEATHS","Number of deaths","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1660","1660.00000","","",""
"GIN","Guinea","","DEATHS","Number of deaths","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","1366","1366.00000","","",""
"LBR","Liberia","","CASES","Number of cases","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-02","2 December 2014","","7690","7690.00000","","",""
"SLE","Sierra Leone","","CASES","Number of cases","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","7635","7635.00000","","",""
"GIN","Guinea","","CASES","Number of cases","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","2014-12-03","3 December 2014","","2192","2192.00000","","",""
"UNSPECIFIED","All countries","","CASES","Number of cases","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","","","","17 517","17517.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
"UNSPECIFIED","All countries","","DEATHS","Number of deaths","","CONF_PROD_SUSP","Total","","SITREP_CUMULATIVE","Cumulative","","2014-12-05","Data package 2014-12-05","","","","","6187","6187.00000","","","This total only includes Guinea, Liberia, and Sierra Leone"
